160340,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,1.441.471
160339,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,83.143
160303,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,72.074
160273,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,247.181
"",INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
160272,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,4.959.619
"",INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
161655,CAPACIDADE PROCESSUAL  PARTES E PROCURADORES  DIREITO PROCESSUAL CIVIL,146.854
"",E DO TRABALHO,
154850,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,75.624
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
157208,IPTUIMPOSTO PREDIAL E TERRITORIAL URBANO  IMPOSTOS  TRIBUTARIO,73.434
157157,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,6.273
"",INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
156909,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,557.805
"",INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
156893,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,567.132
156008,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,78.180
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
155192,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,255.707
"",INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
155133,ABONO DE PERMANENCIA  SISTEMA REMUNERATORIO E BENEFICIOS  SERVIDOR,12.015
"",PUBLICO CIVIL  ADMINISTRATIVO,
155071,LICENCAPREMIO  LICENCASAFASTAMENTOS  SERVIDOR PUBLICO CIVIL,48.670
"",ADMINISTRATIVO,
157397,REVISAO GERAL ANUAL (MORA DO EXECUTIVO  INCISO X ART 37 CF 1988)  SISTEMA,67.010
"",REMUNERATORIO E BENEFICIOS  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
154932,MULTA COMINATORIAASTREINTES  LIQUIDACAOCUMPRIMENTOEXECUCAO,115.948
"",DIREITO PROCESSUAL CIVIL E DO TRABALHO,
154427,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,47.400
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
154788,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,4.508
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
154627,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,140.284
154626,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,140.284
154527,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,58.905
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
154425,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,47.400
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
154423,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,47.400
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
154517,GRATIFICACOES DA LEI 811290  SISTEMA REMUNERATORIO E BENEFICIOS,71.689
"",SERVIDOR  PUBLICO CIVIL  ADMINISTRATIVO,
159323,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,55.784
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
155029,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,236.940
"",INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
158821,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,118.738
157660,ABONO DE PERMANENCIA  SISTEMA REMUNERATORIO E BENEFICIOS  SERVIDOR,172.360
"",PUBLICO CIVIL  ADMINISTRATIVO,
154424,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,47.400
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
159267,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,578.702
159268,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,213.295
"",INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
159150,DESAPROPRIACAO POR INTERESSE SOCIAL COMUM LEI 41321962  INTERVENCAO DO,149.640
"",ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
159273,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,47.507
"",SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158826,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,259.779
"",INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
158825,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,118.738
158824,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,118.738
158822,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,118.738
158820,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,197.897
158819,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,197.897
UO DEVEDORA,25201,Banco Central do Brasil
UO DEVEDORA,26230,FUF - Vale São Francisco
159344,ENQUADRAMENTO  REGIME ESTATUTARIO  SERVIDOR  PUBLICO CIVIL,1.306.575
"",ADMINISTRATIVO,
159345,ENQUADRAMENTO  REGIME ESTATUTARIO  SERVIDOR  PUBLICO CIVIL,1.332.176
"",ADMINISTRATIVO,
159346,ENQUADRAMENTO  REGIME ESTATUTARIO  SERVIDOR  PUBLICO CIVIL,1.351.516
"",ADMINISTRATIVO,
159347,ENQUADRAMENTO  REGIME ESTATUTARIO  SERVIDOR  PUBLICO CIVIL,680.418
"",ADMINISTRATIVO,
159628,INDICE DE 4794% LEI N 86761993REAJUSTE DE REMUNERACAO PROVENTOS OU,571.240
"",PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
159629,INDICE DE 4794% LEI N 86761993REAJUSTE DE REMUNERACAO PROVENTOS OU,213.562
"",PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
159630,INDICE DE 4794% LEI N 86761993REAJUSTE DE REMUNERACAO PROVENTOS OU,310.587
"",PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
159631,INDICE DE 4794% LEI N 86761993REAJUSTE DE REMUNERACAO PROVENTOS OU,310.587
"",PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158779,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,245.072
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158662,SUCUMBENCIA  PARTES E PROCURADORES  DIREITO PROCESSUAL CIVIL E DO,19.929
"",TRABALHO,
158629,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,170.024
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
160942,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,101.403
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158631,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,390.555
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
159632,INDICE DE 4794% LEI N 86761993REAJUSTE DE REMUNERACAO PROVENTOS OU,327.845
"",PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158635,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,176.952
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158636,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,249.388
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158637,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,374.823
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158638,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,289.597
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158639,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,435.576
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158640,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,396.973
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
158641,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,376.192
"",OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
